Latitude: 26.70783595, Longitude: 88.41918186
Latitude: 26.70735901, Longitude: 88.42075556
Latitude: 26.70736021, Longitude: 88.42097081
Latitude: 26.70735751, Longitude: 88.42132252
Latitude: 26.70734494, Longitude: 88.421693
Latitude: 26.70757397, Longitude: 88.42196219
Latitude: 26.70810386, Longitude: 88.421746
Latitude: 26.70844083, Longitude: 88.42201947
Latitude: 26.70721254, Longitude: 88.42565399
Latitude: 26.70524364, Longitude: 88.42627537
Latitude: 26.70551261, Longitude: 88.42525279
Latitude: 26.7058846, Longitude: 88.42500443
Latitude: 26.70575352, Longitude: 88.42453935
Latitude: 26.70725838, Longitude: 88.42508565
Latitude: 26.70700559, Longitude: 88.42645291
Latitude: 26.70712064, Longitude: 88.427238
Latitude: 26.70732404, Longitude: 88.42716532
Latitude: 26.70740095, Longitude: 88.42651059
Latitude: 26.70744647, Longitude: 88.42613708
Latitude: 26.70833215, Longitude: 88.425329
Latitude: 26.70839489, Longitude: 88.42620622
Latitude: 26.70808238, Longitude: 88.42682494
Latitude: 26.70856159, Longitude: 88.42345577
Latitude: 26.70858699, Longitude: 88.42275009
Latitude: 26.70839582, Longitude: 88.42232681
Latitude: 26.70804166, Longitude: 88.42230898
Latitude: 26.70753537, Longitude: 88.42275464
Latitude: 26.7079135, Longitude: 88.42309588
Latitude: 26.70758674, Longitude: 88.42363733
Latitude: 26.7074928, Longitude: 88.42478913
Latitude: 26.70840639, Longitude: 88.42441778
Latitude: 26.70874543, Longitude: 88.42419349
Latitude: 26.7089407, Longitude: 88.42360575
Latitude: 26.70949829, Longitude: 88.4240546
Latitude: 26.70969447, Longitude: 88.42367729
Latitude: 26.70790356, Longitude: 88.42405701
Latitude: 26.70923216, Longitude: 88.42477664
Latitude: 26.70920142, Longitude: 88.42320936
Latitude: 26.70924166, Longitude: 88.42115037
Latitude: 26.70884017, Longitude: 88.42200603
Latitude: 26.70925008, Longitude: 88.42236354
Latitude: 26.70904361, Longitude: 88.42259623
Latitude: 26.70921004, Longitude: 88.42291693
Latitude: 26.70966172, Longitude: 88.4227887
Latitude: 26.7094792, Longitude: 88.42203832
Latitude: 26.70949646, Longitude: 88.42152335
Latitude: 26.70869434, Longitude: 88.42178613
Latitude: 26.7085687, Longitude: 88.42041791
Latitude: 26.7083256, Longitude: 88.42017227
Latitude: 26.70831055, Longitude: 88.41951042
Latitude: 26.70833526, Longitude: 88.41889503
Latitude: 26.7083206, Longitude: 88.41829354
Latitude: 26.70788539, Longitude: 88.42036471
Latitude: 26.70786945, Longitude: 88.4212173
Latitude: 26.72566289, Longitude: 88.4376336
Latitude: 26.72565015, Longitude: 88.43687456
Latitude: 26.72566007, Longitude: 88.43604313
Latitude: 26.7253195, Longitude: 88.43671179
Latitude: 26.7253304, Longitude: 88.43811012
Latitude: 26.72552062, Longitude: 88.43937341
Latitude: 26.72589307, Longitude: 88.44040547
Latitude: 26.72499292, Longitude: 88.44072543
Latitude: 26.72598893, Longitude: 88.43820132
Latitude: 26.72624575, Longitude: 88.43928664
Latitude: 26.72661747, Longitude: 88.43692795
Latitude: 26.72676682, Longitude: 88.43690872
Latitude: 26.72650713, Longitude: 88.43635712
Latitude: 26.72718974, Longitude: 88.43649862
Latitude: 26.72747846, Longitude: 88.43694133
Latitude: 26.72770384, Longitude: 88.43662528
Latitude: 26.72683367, Longitude: 88.43730211
Latitude: 26.72603726, Longitude: 88.43762343
Latitude: 26.72664921, Longitude: 88.43771718
Latitude: 26.72705751, Longitude: 88.4384193
Latitude: 26.72645995, Longitude: 88.43815607
Latitude: 26.72678827, Longitude: 88.43892156
Latitude: 26.72650248, Longitude: 88.43442946
Latitude: 26.72628867, Longitude: 88.43442109
Latitude: 26.72626651, Longitude: 88.43467388
Latitude: 26.72657643, Longitude: 88.43520483
Latitude: 26.72821392, Longitude: 88.43407909
Latitude: 26.72821445, Longitude: 88.43488343
Latitude: 26.72824799, Longitude: 88.43526665
Latitude: 26.72829564, Longitude: 88.4363374
Latitude: 26.7284942, Longitude: 88.43217472
Latitude: 26.72854625, Longitude: 88.43158599
Latitude: 26.72819088, Longitude: 88.43067008
Latitude: 26.7270297, Longitude: 88.43100432
Latitude: 26.72771497, Longitude: 88.44002422
Latitude: 26.72741535, Longitude: 88.43966915
Latitude: 26.72736668, Longitude: 88.43882536
Latitude: 26.72728548, Longitude: 88.43812131
Latitude: 26.72797403, Longitude: 88.43751512
Latitude: 26.72716769, Longitude: 88.44049807
Latitude: 26.72779243, Longitude: 88.43900569
Latitude: 26.72817823, Longitude: 88.44082553
Latitude: 26.72893608, Longitude: 88.44097968
Latitude: 26.7293578, Longitude: 88.44057968
Latitude: 26.7289285, Longitude: 88.44000544
Latitude: 26.72848576, Longitude: 88.4390261
Latitude: 26.72824373, Longitude: 88.43809111
Latitude: 26.72864536, Longitude: 88.43981165
Latitude: 26.72555922, Longitude: 88.4345703
Latitude: 26.7255535, Longitude: 88.43444891
Latitude: 26.72537113, Longitude: 88.43439997
Latitude: 26.7254815, Longitude: 88.43383608
Latitude: 26.72545785, Longitude: 88.43356435
Latitude: 26.72542743, Longitude: 88.43473289
Latitude: 26.72567752, Longitude: 88.43574021
Latitude: 26.72534028, Longitude: 88.43206309
Latitude: 26.72513727, Longitude: 88.43133135
